"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","25","Parameter 'blankFields' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","25","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","25","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","25","Parameter 'parameters' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","35","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","1","37","Overridable method 'copyData' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"12","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","40","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"13","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","48","Local variable 'mapData' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","49","Local variable 'map' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","53","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"16","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","55","Local variable 'listData' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"17","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","56","Local variable 'list' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"18","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","60","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"19","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","3","94","Local variable 'parameter' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"20","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/AbstractQuery.java","5","123","Found 'DD'-anomaly for variable 'query' (lines '123'-'124').","Controversial Rules","DataflowAnomalyAnalysis"
"21","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/DefaultQuery.java","3","16","Parameter 'blankFields' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/DefaultQuery.java","3","16","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"23","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/DefaultQuery.java","3","16","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/DefaultQuery.java","3","16","Parameter 'parameters' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"25","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/DefaultQuery.java","3","31","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"26","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/DefaultQuery.java","3","36","Local variable 'parameter' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/DefaultQuery.java","5","41","Found 'DD'-anomaly for variable 'value' (lines '41'-'43').","Controversial Rules","DataflowAnomalyAnalysis"
"28","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"29","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","9","Private field 'elements' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"30","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","11","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"31","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","18","Parameter 'path' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
